키,몸무게,머리둘레,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,희망치수신발,윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장,(초)전투복상의,(초)전투복하의,(초)야상외피,(초)야상내피,(초)병사반코트,(초)전투모,(초)게리슨모,(초)정모,(초)동운동복,(초)춘추운동복,(초)하운동복상의,(초)하운동복하의,(초)동내의,(초)춘추내의,(초)티셔츠(런닝),(초)삼각팬티,(초)사각팬티
157.3,57.2,55.4,36.1,73.1,85.7,77.4,96.5,68.5,235,89.8,76,45.5,52,29.5,91,130.5,85-W-158,75-158,85-158,85-158,90-165,56호,56호,56호,95,95,95,95,95,95,90,95,95
159,52.1,54.7,34.3,0,83.8,76.8,92.1,76.5,240,85.2,71.2,0,149,40.5,92.5,143,85-W-158,75-158,85-158,85-158,90-165,55호,55호,55호,95,95,95,95,95,95,90,90,90
159.2,52.4,56.3,34.4,66.1,88.7,79.7,94.3,73.5,235,88.2,71.2,41,45.9,33.5,89.5,133,90-W-158,80-158,90-158,90-158,90-165,57호,57호,57호,95,95,95,95,95,95,90,95,95
157.4,55.9,54.7,35.4,0,86.5,75,93.3,71.5,0,87.4,74.4,0,161.2,39.3,93.5,142.8,85-W-158,75-158,85-158,85-158,90-165,55호,55호,55호,95,95,95,95,95,95,90,95,95
162.7,51.6,54.4,34.2,73.2,81.8,69.4,89.9,75,0,83.8,69.5,45.9,51.2,32,94,136,80-W-164,70-164,85-164,85-164,90-165,55호,55호,55호,95,95,95,95,95,95,90,90,90
168.7,51,55.2,34,0,2,66.3,89.3,77.5,240,80.7,67.8,0,153.5,21.9,103,134.9,85-W-170,65-170,85-170,85-170,90-170,56호,56호,56호,95,95,95,95,95,95,90,90,90
169.2,60.4,54.4,35.5,88.6,2,76.4,99.4,82,255,20.2,73.8,27.7,67.1,32.5,101.5,144,85-W-170,75-170,85-170,85-170,90-170,55호,55호,55호,95,95,95,95,95,95,90,100,100
164.7,64.6,56,36.5,0,85.3,87,101.8,69,250,87.8,79.1,0,154.5,34,92,136,85-W-164,85-164,85-164,85-164,90-165,57호,57호,57호,95,95,95,95,95,95,90,100,100
161.3,66.4,56,37.3,76.7,94.1,83.8,102.5,74.5,245,94.7,82.5,44.6,52.8,26.5,99.5,136,95-W-164,85-164,95-164,95-164,95-165,57호,57호,57호,95,95,95,95,95,95,95,100,100
152.8,60.4,56.5,37.1,0,85.5,78.3,100.3,69.5,235,83.4,77.1,0,155,35.9,89.5,135.4,85-W-158,80-158,85-158,85-158,90-165,57호,57호,57호,95,95,95,95,95,95,90,100,100
